iso3,year,id,creation_date,status,planned_quarter,publication_date
AFG,2025,AFG_202510,2025-10-27,feedback,2026-Q2,
AGO,2025,AGO_202506,2025-06-03,processing,,
BDI,2025,BDI_202510,2025-10-27,blocked,,
BFA,2025,BFA_202510,2025-09-30,published,2025-Q4,2025-12-26
BGD,2025,BGD_20250317,2025-03-17,published,2025-Q3,2025-08-19
CAF,2025,CAF_202602,2026-02-23,published,2026-Q1,2026-04-01
COD,2025,COD_202512_dq,2025-12-23,published,2026-Q2,2026-04-16
COD,2026,COD_202602_hnrp,2026-02-03,initialized,,
COL,2025,COL_202511,2025-10-28,initialized,2026-Q2,
ETH,2025,ETH_202601,2026-01-29,published,2026-Q1,2026-04-09
HTI,2025,HTI_202511,2025-10-28,initialized,2026-Q4,
JAM,2025,JAM_202511,2025-11-06,initialized,2026-Q2,
MLI,2025,MLI_202509,2025-09-29,published,2026-Q1,2026-03-04
MOZ,2025,MOZ_202512,2025-12-17,feedback,2026-Q2,
NGA,2026,NGA_202604,2026-04-06,initialized,,
SSD,2025,SSD_202510,2025-10-27,initialized,2026-Q2,
UKR,2025,UKR_202511,2025-10-28,published,2026-Q1,2026-02-20
VEN,2025,VEN_202601,2026-01-01,initialized,2026-Q2,
VNM,2025,VNM_202509,2025-09-24,published,2025-Q4,2025-10-27
YEM,2025,YEM_202512_dq,2025-12-12,initialized,2026-Q2,
